token_id,name,rarity_tier,price_eth
0,Satoshe Slugger #1,Ground Ball,0.00333
1,Satoshe Slugger #2,Home Run,0.333
2,Satoshe Slugger #3,Double,0.00777
3,Satoshe Slugger #4,Ground Ball,0.00333
4,Satoshe Slugger #5,Ground Ball,0.00333
5,Satoshe Slugger #6,Over-the-Fence Shot,0.0777
6,Satoshe Slugger #7,Ground Ball,0.00333
7,Satoshe Slugger #8,Ground Ball,0.00333
8,Satoshe Slugger #9,Ground Ball,0.00333
9,Satoshe Slugger #10,Over-the-Fence Shot,0.0777
10,Satoshe Slugger #11,Ground Ball,0.00333
11,Satoshe Slugger #12,Ground Ball,0.00333
12,Satoshe Slugger #13,Ground Ball,0.00333
13,Satoshe Slugger #14,Home Run,0.333
14,Satoshe Slugger #15,Line Drive,0.00777
15,Satoshe Slugger #16,Ground Ball,0.00333
16,Satoshe Slugger #17,Home Run,0.333
17,Satoshe Slugger #18,Line Drive,0.00777
18,Satoshe Slugger #19,Home Run,0.333
19,Satoshe Slugger #20,Ground Ball,0.00333
20,Satoshe Slugger #21,Ground Ball,0.00333
21,Satoshe Slugger #22,Ground Ball,0.00333
22,Satoshe Slugger #23,Ground Ball,0.00333
23,Satoshe Slugger #24,Ground Ball,0.00333
24,Satoshe Slugger #25,Line Drive,0.00777
25,Satoshe Slugger #26,Ground Ball,0.00333
26,Satoshe Slugger #27,Ground Ball,0.00333
27,Satoshe Slugger #28,Ground Ball,0.00333
28,Satoshe Slugger #29,Triple,0.0333
29,Satoshe Slugger #30,Ground Ball,0.00333
30,Satoshe Slugger #31,Ground Ball,0.00333
31,Satoshe Slugger #32,Ground Ball,0.00333
32,Satoshe Slugger #33,Ground Ball,0.00333
33,Satoshe Slugger #34,Double,0.00777
34,Satoshe Slugger #35,Ground Ball,0.00333
35,Satoshe Slugger #36,Ground Ball,0.00333
36,Satoshe Slugger #37,Ground Ball,0.00333
37,Satoshe Slugger #38,Ground Ball,0.00333
38,Satoshe Slugger #39,Stand-Up Double,0.00777
39,Satoshe Slugger #40,Ground Ball,0.00333
40,Satoshe Slugger #41,Ground Ball,0.00333
41,Satoshe Slugger #42,Line Drive,0.00777
42,Satoshe Slugger #43,Ground Ball,0.00333
43,Satoshe Slugger #44,Pinch Hit Home Run,0.0777
44,Satoshe Slugger #45,Base Hit,0.00777
45,Satoshe Slugger #46,Grand Slam (Ultra-Legendary),1.0
46,Satoshe Slugger #47,Ground Ball,0.00333
47,Satoshe Slugger #48,Ground Ball,0.00333
48,Satoshe Slugger #49,Ground Ball,0.00333
49,Satoshe Slugger #50,Home Run,0.333
50,Satoshe Slugger #51,Ground Ball,0.00333
51,Satoshe Slugger #52,Home Run,0.333
52,Satoshe Slugger #53,Ground Ball,0.00333
53,Satoshe Slugger #54,Ground Ball,0.00333
54,Satoshe Slugger #55,Ground Ball,0.00333
55,Satoshe Slugger #56,Ground Ball,0.00333
56,Satoshe Slugger #57,Ground Ball,0.00333
57,Satoshe Slugger #58,Double,0.00777
58,Satoshe Slugger #59,Ground Ball,0.00333
59,Satoshe Slugger #60,Ground Ball,0.00333
60,Satoshe Slugger #61,Ground Ball,0.00333
61,Satoshe Slugger #62,Ground Ball,0.00333
62,Satoshe Slugger #63,Ground Ball,0.00333
63,Satoshe Slugger #64,Ground Ball,0.00333
64,Satoshe Slugger #65,Ground Ball,0.00333
65,Satoshe Slugger #66,Ground Ball,0.00333
66,Satoshe Slugger #67,Ground Ball,0.00333
67,Satoshe Slugger #68,Ground Ball,0.00333
68,Satoshe Slugger #69,Ground Ball,0.00333
69,Satoshe Slugger #70,Ground Ball,0.00333
70,Satoshe Slugger #71,Home Run,0.333
71,Satoshe Slugger #72,Ground Ball,0.00333
72,Satoshe Slugger #73,Ground Ball,0.00333
73,Satoshe Slugger #74,Triple,0.0333
74,Satoshe Slugger #75,Ground Ball,0.00333
75,Satoshe Slugger #76,Ground Ball,0.00333
76,Satoshe Slugger #77,Ground Ball,0.00333
77,Satoshe Slugger #78,Ground Ball,0.00333
78,Satoshe Slugger #79,Ground Ball,0.00333
79,Satoshe Slugger #80,Ground Ball,0.00333
80,Satoshe Slugger #81,Ground Ball,0.00333
81,Satoshe Slugger #82,Base Hit,0.00777
82,Satoshe Slugger #83,Ground Ball,0.00333
83,Satoshe Slugger #84,Line Drive,0.00777
84,Satoshe Slugger #85,Stand-Up Double,0.00777
85,Satoshe Slugger #86,Ground Ball,0.00333
86,Satoshe Slugger #87,Ground Ball,0.00333
87,Satoshe Slugger #88,Ground Ball,0.00333
88,Satoshe Slugger #89,Triple,0.0333
89,Satoshe Slugger #90,Home Run,0.333
90,Satoshe Slugger #91,Ground Ball,0.00333
91,Satoshe Slugger #92,Ground Ball,0.00333
92,Satoshe Slugger #93,Ground Ball,0.00333
93,Satoshe Slugger #94,Ground Ball,0.00333
94,Satoshe Slugger #95,Stand-Up Double,0.00777
95,Satoshe Slugger #96,Ground Ball,0.00333
96,Satoshe Slugger #97,Ground Ball,0.00333
97,Satoshe Slugger #98,Ground Ball,0.00333
98,Satoshe Slugger #99,Base Hit,0.00777
99,Satoshe Slugger #100,Ground Ball,0.00333
100,Satoshe Slugger #101,Ground Ball,0.00333
101,Satoshe Slugger #102,Ground Ball,0.00333
102,Satoshe Slugger #103,Ground Ball,0.00333
103,Satoshe Slugger #104,Stand-Up Double,0.00777
104,Satoshe Slugger #105,Ground Ball,0.00333
105,Satoshe Slugger #106,Double,0.00777
106,Satoshe Slugger #107,Grand Slam (Ultra-Legendary),1.0
107,Satoshe Slugger #108,Base Hit,0.00777
108,Satoshe Slugger #109,Ground Ball,0.00333
109,Satoshe Slugger #110,Ground Ball,0.00333
110,Satoshe Slugger #111,Ground Ball,0.00333
111,Satoshe Slugger #112,Ground Ball,0.00333
112,Satoshe Slugger #113,Ground Ball,0.00333
113,Satoshe Slugger #114,Ground Ball,0.00333
114,Satoshe Slugger #115,Ground Ball,0.00333
115,Satoshe Slugger #116,Ground Ball,0.00333
116,Satoshe Slugger #117,Stand-Up Double,0.00777
117,Satoshe Slugger #118,Ground Ball,0.00333
118,Satoshe Slugger #119,Ground Ball,0.00333
119,Satoshe Slugger #120,Ground Ball,0.00333
120,Satoshe Slugger #121,Ground Ball,0.00333
121,Satoshe Slugger #122,Ground Ball,0.00333
122,Satoshe Slugger #123,Ground Ball,0.00333
123,Satoshe Slugger #124,Triple,0.0333
124,Satoshe Slugger #125,Ground Ball,0.00333
125,Satoshe Slugger #126,Ground Ball,0.00333
126,Satoshe Slugger #127,Ground Ball,0.00333
127,Satoshe Slugger #128,Triple,0.0333
128,Satoshe Slugger #129,Ground Ball,0.00333
129,Satoshe Slugger #130,Ground Ball,0.00333
130,Satoshe Slugger #131,Over-the-Fence Shot,0.0777
131,Satoshe Slugger #132,Home Run,0.333
132,Satoshe Slugger #133,Pinch Hit Home Run,0.0777
133,Satoshe Slugger #134,Ground Ball,0.00333
134,Satoshe Slugger #135,Ground Ball,0.00333
135,Satoshe Slugger #136,Ground Ball,0.00333
136,Satoshe Slugger #137,Ground Ball,0.00333
137,Satoshe Slugger #138,Ground Ball,0.00333
138,Satoshe Slugger #139,Ground Ball,0.00333
139,Satoshe Slugger #140,Home Run,0.333
140,Satoshe Slugger #141,Ground Ball,0.00333
141,Satoshe Slugger #142,Home Run,0.333
142,Satoshe Slugger #143,Ground Ball,0.00333
143,Satoshe Slugger #144,Ground Ball,0.00333
144,Satoshe Slugger #145,Ground Ball,0.00333
145,Satoshe Slugger #146,Ground Ball,0.00333
146,Satoshe Slugger #147,Ground Ball,0.00333
147,Satoshe Slugger #148,Ground Ball,0.00333
148,Satoshe Slugger #149,Ground Ball,0.00333
149,Satoshe Slugger #150,Ground Ball,0.00333
150,Satoshe Slugger #151,Ground Ball,0.00333
151,Satoshe Slugger #152,Base Hit,0.00777
152,Satoshe Slugger #153,Home Run,0.333
153,Satoshe Slugger #154,Home Run,0.333
154,Satoshe Slugger #155,Ground Ball,0.00333
155,Satoshe Slugger #156,Double,0.00777
156,Satoshe Slugger #157,Ground Ball,0.00333
157,Satoshe Slugger #158,Home Run,0.333
158,Satoshe Slugger #159,Double,0.00777
159,Satoshe Slugger #160,Ground Ball,0.00333
160,Satoshe Slugger #161,Triple,0.0333
161,Satoshe Slugger #162,Ground Ball,0.00333
162,Satoshe Slugger #163,Ground Ball,0.00333
163,Satoshe Slugger #164,Ground Ball,0.00333
164,Satoshe Slugger #165,Ground Ball,0.00333
165,Satoshe Slugger #166,Double,0.00777
166,Satoshe Slugger #167,Triple,0.0333
167,Satoshe Slugger #168,Ground Ball,0.00333
168,Satoshe Slugger #169,Ground Ball,0.00333
169,Satoshe Slugger #170,Ground Ball,0.00333
170,Satoshe Slugger #171,Home Run,0.333
171,Satoshe Slugger #172,Ground Ball,0.00333
172,Satoshe Slugger #173,Base Hit,0.00777
173,Satoshe Slugger #174,Triple,0.0333
174,Satoshe Slugger #175,Ground Ball,0.00333
175,Satoshe Slugger #176,Base Hit,0.00777
176,Satoshe Slugger #177,Ground Ball,0.00333
177,Satoshe Slugger #178,Ground Ball,0.00333
178,Satoshe Slugger #179,Ground Ball,0.00333
179,Satoshe Slugger #180,Ground Ball,0.00333
180,Satoshe Slugger #181,Ground Ball,0.00333
181,Satoshe Slugger #182,Ground Ball,0.00333
182,Satoshe Slugger #183,Ground Ball,0.00333
183,Satoshe Slugger #184,Home Run,0.333
184,Satoshe Slugger #185,Ground Ball,0.00333
185,Satoshe Slugger #186,Ground Ball,0.00333
186,Satoshe Slugger #187,Ground Ball,0.00333
187,Satoshe Slugger #188,Pinch Hit Home Run,0.0777
188,Satoshe Slugger #189,Ground Ball,0.00333
189,Satoshe Slugger #190,Ground Ball,0.00333
190,Satoshe Slugger #191,Ground Ball,0.00333
191,Satoshe Slugger #192,Ground Ball,0.00333
192,Satoshe Slugger #193,Triple,0.0333
193,Satoshe Slugger #194,Home Run,0.333
194,Satoshe Slugger #195,Double,0.00777
195,Satoshe Slugger #196,Ground Ball,0.00333
196,Satoshe Slugger #197,Ground Ball,0.00333
197,Satoshe Slugger #198,Ground Ball,0.00333
198,Satoshe Slugger #199,Ground Ball,0.00333
199,Satoshe Slugger #200,Ground Ball,0.00333
200,Satoshe Slugger #201,Home Run,0.333
201,Satoshe Slugger #202,Ground Ball,0.00333
202,Satoshe Slugger #203,Ground Ball,0.00333
203,Satoshe Slugger #204,Ground Ball,0.00333
204,Satoshe Slugger #205,Ground Ball,0.00333
205,Satoshe Slugger #206,Ground Ball,0.00333
206,Satoshe Slugger #207,Ground Ball,0.00333
207,Satoshe Slugger #208,Ground Ball,0.00333
208,Satoshe Slugger #209,Ground Ball,0.00333
209,Satoshe Slugger #210,Ground Ball,0.00333
210,Satoshe Slugger #211,Home Run,0.333
211,Satoshe Slugger #212,Ground Ball,0.00333
212,Satoshe Slugger #213,Ground Ball,0.00333
213,Satoshe Slugger #214,Ground Ball,0.00333
214,Satoshe Slugger #215,Ground Ball,0.00333
215,Satoshe Slugger #216,Grand Slam (Ultra-Legendary),1.0
216,Satoshe Slugger #217,Over-the-Fence Shot,0.0777
217,Satoshe Slugger #218,Ground Ball,0.00333
218,Satoshe Slugger #219,Ground Ball,0.00333
219,Satoshe Slugger #220,Ground Ball,0.00333
220,Satoshe Slugger #221,Triple,0.0333
221,Satoshe Slugger #222,Ground Ball,0.00333
222,Satoshe Slugger #223,Ground Ball,0.00333
223,Satoshe Slugger #224,Line Drive,0.00777
224,Satoshe Slugger #225,Triple,0.0333
225,Satoshe Slugger #226,Ground Ball,0.00333
226,Satoshe Slugger #227,Ground Ball,0.00333
227,Satoshe Slugger #228,Ground Ball,0.00333
228,Satoshe Slugger #229,Ground Ball,0.00333
229,Satoshe Slugger #230,Line Drive,0.00777
230,Satoshe Slugger #231,Ground Ball,0.00333
231,Satoshe Slugger #232,Ground Ball,0.00333
232,Satoshe Slugger #233,Ground Ball,0.00333
233,Satoshe Slugger #234,Ground Ball,0.00333
234,Satoshe Slugger #235,Ground Ball,0.00333
235,Satoshe Slugger #236,Ground Ball,0.00333
236,Satoshe Slugger #237,Ground Ball,0.00333
237,Satoshe Slugger #238,Line Drive,0.00777
238,Satoshe Slugger #239,Base Hit,0.00777
239,Satoshe Slugger #240,Ground Ball,0.00333
240,Satoshe Slugger #241,Base Hit,0.00777
241,Satoshe Slugger #242,Ground Ball,0.00333
242,Satoshe Slugger #243,Over-the-Fence Shot,0.0777
243,Satoshe Slugger #244,Ground Ball,0.00333
244,Satoshe Slugger #245,Line Drive,0.00777
245,Satoshe Slugger #246,Triple,0.0333
246,Satoshe Slugger #247,Stand-Up Double,0.00777
