Listing ID,Token ID (raw),Price (Wei)
7776,7777,3330000000000000
7777,7778,3330000000000000
7778,7779,3330000000000000
7779,7780,3330000000000000
7780,7778,77700000000000000
7781,7781,3330000000000000
7782,7782,3330000000000000
7783,7783,3330000000000000
7784,7784,3330000000000000
7785,7785,3330000000000000
7786,7786,3330000000000000
7787,7787,3330000000000000
7788,7788,3330000000000000
7789,7789,3330000000000000
7790,7790,3330000000000000
7791,7791,3330000000000000
7792,7792,3330000000000000
7793,7793,3330000000000000
7794,7794,3330000000000000
7795,7795,3330000000000000
7796,7796,3330000000000000
7797,7797,3330000000000000
7798,7798,3330000000000000
7799,7799,3330000000000000
7800,7800,3330000000000000
7801,7801,3330000000000000
7802,7802,3330000000000000
7803,7803,3330000000000000
7804,7778,77700000000000000
7805,7785,7770000000000000
7806,7787,333000000000000000
7807,7790,77700000000000000
7808,7791,7770000000000000
7809,7792,7770000000000000
7810,7794,77700000000000000
7811,7799,77700000000000000
7812,7804,10000000000000
7813,7805,1000000000000
7814,7806,1000000000000
7815,7807,1000000000000
7816,7808,1000000000000
7817,7809,1000000000000
7818,7810,1000000000000
7819,7811,1000000000000
7820,7812,1000000000000
7821,7813,1000000000000
7822,7818,1000000000000
7823,7817,1000000000000
7824,7816,1000000000000
7825,7815,1000000000000
7826,7814,1000000000000
